"Id";"Node";"Shape";"Status";"Reason";"Date"
"0-0";"<http://example.org/DT_Chile_2010>";"<http://example.org/ConcertShape>";"Valid";":DT_Chile_2010 passed  [ wd:Q182832] {1,1} for path wd:P31
:DT_Chile_2010 passed  Literal {1,1} for path :label
:DT_Chile_2010 passed  [ wd:~] {1,1} for path wd:P175
:DT_Chile_2010 passed  [  wd:~ :~] * for path wd:P276";"Fri Mar 13 2026 21:41:18 GMT-0300 (hora de verano de Chile)"
"0-1";"<http://www.wikidata.org/entity/Q261>";"<http://example.org/BandShape>";"Valid";"wd:Q261 passed  [ wd:~] {1,1} for path wd:Q3373417
wd:Q261 passed  [ wd:~] + for path wd:Q188451
wd:Q261 passed  [  wd:~ :~] * for path wd:Q482994
wd:Q261 passed  [  wd:~ :~] * for path wd:Q52630241";"Fri Mar 13 2026 21:41:18 GMT-0300 (hora de verano de Chile)"
"0-2";"<http://www.wikidata.org/entity/Q948829>";"<http://example.org/AlbumShape>";"Valid";"wd:Q948829 passed  [ wd:~] {1,1} for path wd:Q3972943
wd:Q948829 passed  [  wd:~ :~] + for path wd:Q7366
wd:Q948829 passed  [ wd:~] ? for path wd:Q18127";"Fri Mar 13 2026 21:41:18 GMT-0300 (hora de verano de Chile)"
"0-3";"<http://example.org/SymphonyX_Chile_2019>";"<http://example.org/ConcertShape>";"Valid";":SymphonyX_Chile_2019 passed  [ wd:Q182832] {1,1} for path wd:P31
:SymphonyX_Chile_2019 passed  Literal {1,1} for path :label
:SymphonyX_Chile_2019 passed  [ wd:~] {1,1} for path wd:P175
:SymphonyX_Chile_2019 passed  [  wd:~ :~] * for path wd:P276";"Fri Mar 13 2026 21:41:18 GMT-0300 (hora de verano de Chile)"
"0-4";"<http://example.org/Avantasia_Chile_2025>";"<http://example.org/ConcertShape>";"Valid";":Avantasia_Chile_2025 passed  [ wd:Q182832] {1,1} for path wd:P31
:Avantasia_Chile_2025 passed  Literal {1,1} for path :label
:Avantasia_Chile_2025 passed  [ wd:~] {1,1} for path wd:P175
:Avantasia_Chile_2025 passed  [  wd:~ :~] * for path wd:P276";"Fri Mar 13 2026 21:41:18 GMT-0300 (hora de verano de Chile)"
"0-5";"<http://example.org/MetalFest_2024>";"<http://example.org/ConcertShape>";"Valid";":MetalFest_2024 passed  [ wd:Q182832] {1,1} for path wd:P31
:MetalFest_2024 passed  Literal {1,1} for path :label
:MetalFest_2024 passed  [ wd:~] {1,1} for path wd:P175
:MetalFest_2024 passed  [  wd:~ :~] * for path wd:P276";"Fri Mar 13 2026 21:41:18 GMT-0300 (hora de verano de Chile)"
"0-6";"<http://example.org/Alcest_Brazil_2014>";"<http://example.org/ConcertShape>";"Valid";":Alcest_Brazil_2014 passed  [ wd:Q182832] {1,1} for path wd:P31
:Alcest_Brazil_2014 passed  Literal {1,1} for path :label
:Alcest_Brazil_2014 passed  [ wd:~] {1,1} for path wd:P175
:Alcest_Brazil_2014 passed  [  wd:~ :~] * for path wd:P276";"Fri Mar 13 2026 21:41:18 GMT-0300 (hora de verano de Chile)"
"0-7";"<http://www.wikidata.org/entity/Q485231>";"<http://example.org/BandShape>";"Valid";"wd:Q485231 passed  [ wd:~] {1,1} for path wd:Q3373417
wd:Q485231 passed  [ wd:~] + for path wd:Q188451
wd:Q485231 passed  [  wd:~ :~] * for path wd:Q482994
wd:Q485231 passed  [  wd:~ :~] * for path wd:Q52630241";"Fri Mar 13 2026 21:41:18 GMT-0300 (hora de verano de Chile)"
"0-8";"<http://www.wikidata.org/entity/Q158895>";"<http://example.org/BandShape>";"Valid";"wd:Q158895 passed  [ wd:~] {1,1} for path wd:Q3373417
wd:Q158895 passed  [ wd:~] + for path wd:Q188451
wd:Q158895 passed  [  wd:~ :~] * for path wd:Q482994
wd:Q158895 passed  [  wd:~ :~] * for path wd:Q52630241";"Fri Mar 13 2026 21:41:18 GMT-0300 (hora de verano de Chile)"
"0-9";"<http://www.wikidata.org/entity/Q547624>";"<http://example.org/AlbumShape>";"Valid";"wd:Q547624 passed  [ wd:~] {1,1} for path wd:Q3972943
wd:Q547624 passed  [  wd:~ :~] + for path wd:Q7366
wd:Q547624 passed  [ wd:~] ? for path wd:Q18127";"Fri Mar 13 2026 21:41:18 GMT-0300 (hora de verano de Chile)"
"0-10";"<http://www.wikidata.org/entity/Q158641>";"<http://example.org/BandShape>";"Valid";"wd:Q158641 passed  [ wd:~] {1,1} for path wd:Q3373417
wd:Q158641 passed  [ wd:~] + for path wd:Q188451
wd:Q158641 passed  [  wd:~ :~] * for path wd:Q482994
wd:Q158641 passed  [  wd:~ :~] * for path wd:Q52630241";"Fri Mar 13 2026 21:41:18 GMT-0300 (hora de verano de Chile)"
"0-11";"<http://example.org/Lollapaloza_2011>";"<http://example.org/ConcertShape>";"Valid";":Lollapaloza_2011 passed  [ wd:Q182832] {1,1} for path wd:P31
:Lollapaloza_2011 passed  Literal {1,1} for path :label
:Lollapaloza_2011 passed  [ wd:~] {1,1} for path wd:P175
:Lollapaloza_2011 passed  [  wd:~ :~] * for path wd:P276
:Lollapaloza_2011 passed  [ wd:Q182832] {1,1} for path wd:P31
:Lollapaloza_2011 passed  Literal {1,1} for path :label
:Lollapaloza_2011 passed  [ wd:~] {1,1} for path wd:P175
:Lollapaloza_2011 passed  [  wd:~ :~] * for path wd:P276";"Fri Mar 13 2026 21:41:18 GMT-0300 (hora de verano de Chile)"
